"datum","vhodi","izhodi"
"2023-08-30","2","1"
"2023-08-31","9","7"
"2023-09-01","7","5"
"2023-09-02","38","34"
"2023-09-03","17","32"
"2023-09-04","1","4"
"2023-09-05","17","20"
"2023-09-06","12","12"
"2023-09-07","16","21"
"2023-09-08","25","22"
"2023-09-09","151","80"
"2023-09-10","155","83"
"2023-09-11","46","34"
"2023-09-12","34","10"
"2023-09-13","15","20"
"2023-09-14","2","3"
"2023-09-15","5","3"
"2023-09-16","114","65"
"2023-09-17","149","91"
"2023-09-18","6","4"
"2023-09-19","3","4"
"2023-09-20","33","17"
"2023-09-21","3","0"
"2023-09-22","0","1"
"2023-09-23","1","0"
"2023-09-24","10","13"
"2023-09-25","6","6"
"2023-09-26","14","14"
"2023-09-27","29","3"
"2023-09-28","23","6"
"2023-09-29","25","4"
"2023-09-30","37","6"
"2023-10-01","63","21"
"2023-10-02","24","5"
"2023-10-03","15","4"
"2023-10-04","0","0"
"2023-10-05","8","4"
"2023-10-06","11","14"
"2023-10-07","69","32"
"2023-10-08","51","21"
"2023-10-09","10","7"
"2023-10-10","1","0"
"2023-10-11","9","7"
"2023-10-12","16","16"
"2023-10-13","16","19"
"2023-10-14","71","31"
"2023-10-15","0","0"
"2023-10-16","1","0"
"2023-10-17","1","0"
"2023-10-18","0","0"
"2023-10-19","1","1"
"2023-10-20","0","0"
"2023-10-21","2","2"
"2023-10-22","29","8"
"2023-10-23","2","0"
"2023-10-24","0","0"
"2023-10-25","1","0"
"2023-10-26","0","0"
"2023-10-27","1","0"
"2023-10-28","1","3"
"2023-10-29","11","7"
"2023-10-30","0","1"
"2023-10-31","0","0"
"2023-11-01","21","18"
"2023-11-02","0","0"
"2023-11-03","1","1"
"2023-11-04","4","10"
"2023-11-05","0","0"
"2023-11-06","1","0"
"2023-11-07","2","1"
"2023-11-08","4","1"
"2023-11-09","0","3"
"2023-11-10","23","2"
"2023-11-11","9","25"
"2023-11-12","9","7"
"2023-11-13","0","0"
"2023-11-14","2","2"
"2023-11-15","5","3"
"2023-11-16","0","0"
"2023-11-17","0","0"
"2023-11-18","19","30"
"2023-11-19","22","6"
"2023-11-20","0","0"
"2023-11-21","0","0"
"2023-11-22","0","0"
"2023-11-23","0","0"
"2023-11-24","0","0"
"2023-11-25","0","0"
"2023-11-26","0","0"
"2023-11-27","0","0"
"2023-11-28","0","0"
"2023-11-29","0","0"
"2023-11-30","0","0"
"2023-12-01","0","0"
"2023-12-02","0","0"
"2023-12-03","0","0"
"2023-12-04","0","0"
"2023-12-05","0","0"
"2023-12-06","0","0"
"2023-12-07","0","0"
"2023-12-08","0","0"
"2023-12-09","0","0"
"2023-12-10","0","0"
"2023-12-11","0","0"
"2023-12-12","0","0"
"2023-12-13","0","0"
"2023-12-14","0","0"
"2023-12-15","0","0"
"2023-12-16","0","0"
"2023-12-17","0","0"
"2023-12-18","0","0"
"2023-12-19","0","0"
"2023-12-20","0","0"
"2023-12-21","0","0"
"2023-12-22","0","0"
"2023-12-23","0","0"
"2023-12-24","0","0"
"2023-12-25","0","0"
